category,correct,timestamp
fractions,True,1726390643.704005
addition,False,1726390645.668125
addition,False,1726390647.8751411
addition,True,1726390649.689379
subtraction,True,1726390651.077714
addition,True,1726390652.772415
addition,True,1726390655.312816
subtraction,False,1726390661.53662
subtraction,False,1726390663.759687
subtraction,True,1726390667.292403
addition,True,1726390672.460334
addition,True,1726390674.72586
subtraction,True,1726390676.032789
addition,True,1726390677.53983
subtraction,False,1726390785.2763782
subtraction,True,1726390786.726743
fractions,True,1726390788.210573
addition,True,1726390790.560964
fractions,True,1726390792.006364
addition,True,1726390793.512918
subtraction,True,1726390795.2351942
addition,True,1726390797.682807
subtraction,True,1726390799.5364192
fractions,True,1726390814.779079
fractions,True,1726390818.168849
fractions,True,1726390821.747883
fractions,False,1726390825.8462248
fractions,True,1726390829.965487
fractions,True,1726390833.875066
fractions,True,1726390836.574544
fractions,False,1726390838.870694
fractions,False,1726390847.925063
fractions,True,1726390850.5897331
fractions,True,1726390852.0579772
addition,True,1726391235.121331
subtraction,True,1726391236.2315252
addition,True,1726391237.289076
subtraction,True,1726392303.1172469
addition,True,1726392305.6295412
fractions,False,1726392397.066769
fractions,False,1726392437.033338
fractions,False,1726392470.173033
fractions,False,1726392471.853819
fractions,False,1726392472.850014
fractions,True,1726392475.552171
fractions,False,1726392484.346442
fractions,False,1726392487.106624
fractions,False,1726392489.539858
fractions,True,1726392493.4752152
fractions,False,1726392495.0115871
fractions,False,1726392497.302708
fractions,True,1726392499.845494
fractions,False,1726392506.635478
fractions,False,1726392508.255879
fractions,True,1726392509.843078
fractions,False,1726392511.723594
fractions,False,1726392512.6004329
fractions,True,1726392515.194879
fractions,False,1726392517.410583
fractions,False,1726392518.568615
fractions,True,1726392520.9612968
fractions,False,1726392522.068156
fractions,False,1726392524.285795
fractions,True,1726392529.872582
fractions,False,1726392531.3897622
fractions,False,1726392531.9927208
fractions,True,1726392534.873319
fractions,False,1726392546.822979
fractions,False,1726392548.7531269
fractions,True,1726392556.872889
fractions,False,1726392648.6201432
fractions,False,1726392656.596696
fractions,True,1726392661.640793
fractions,True,1726392663.30082
fractions,True,1726392664.576833
fractions,True,1726392675.361108
fractions,False,1726392676.508418
fractions,False,1726392678.396291
subtraction,True,1726392685.168897
subtraction,True,1726392687.880481
addition,True,1726392690.02415
addition,True,1726392702.187454
fractions,False,1726392703.742671
fractions,True,1726392705.260119
subtraction,True,1726392706.894688
addition,False,1726392707.75474
addition,True,1726392710.515279
fractions,False,1726392713.3445492
fractions,False,1726392716.0613818
fractions,False,1726392743.3780532
fractions,False,1726392827.386461
fractions,False,1726392829.0245771
fractions,False,1726392831.565791
fractions,False,1726392839.091046
fractions,False,1726392845.898388
fractions,False,1726392850.154984
fractions,False,1726392867.347392
fractions,False,1726392870.773438
fractions,False,1726392889.720747
fractions,False,1726392899.041506
fractions,False,1726392923.98746
fractions,False,1726392927.7359529
fractions,False,1726392942.662615
fractions,False,1726392945.572819
fractions,False,1726392953.80069
fractions,False,1726392965.4397702
fractions,True,1726392988.378008
fractions,False,1726392989.692248
fractions,True,1726392991.907587
fractions,True,1726392993.933652
fractions,True,1726392995.050806
fractions,True,1726392996.048298
fractions,True,1726393030.226488
fractions,False,1726393033.256751
fractions,False,1726393035.8488672
fractions,False,1726393404.6438348
fractions,False,1726393407.0349
fractions,False,1726393410.206332
fractions,False,1726393413.33054
fractions,False,1726393415.525543
fractions,False,1726393420.68441
fractions,False,1726393426.50832
fractions,False,1726393509.471586
fractions,False,1726393512.151479
fractions,False,1726393516.768982
fractions,False,1726396820.568334
fractions,False,1726396897.115212
subtraction,True,1726396958.05879
addition,True,1726396961.487682
fractions,False,1726396964.221266
fractions,False,1726396966.721065
addition,True,1726396968.79672
addition,True,1726396970.175817
subtraction,True,1726396971.3932328
subtraction,False,1726396974.908714
subtraction,True,1726396977.794816
subtraction,True,1726396988.280568
fractions,False,1726396991.235141
subtraction,True,1726396992.5911329
fractions,False,1726396994.836731
subtraction,True,1726396996.417496
fractions,False,1726396999.169375
fractions,True,1726397000.550294
fractions,False,1726397003.226347
subtraction,True,1726397026.0909529
addition,True,1726397029.3434072
subtraction,True,1726397031.4023402
fractions,False,1726397034.1411772
addition,True,1726397035.8087082
fractions,False,1726397051.9683998
addition,False,1726397053.908233
addition,True,1726397055.37412
fractions,False,1726397071.807014
